"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Digital Marketing, Brand Awareness and Customer Relationship Management on Repurchase Intention in E-Commerce Marketplace","F. Kharisma; I. D. C. Arifah; A. Kautsar; R. S. Dewi","Digital Business, Universitas Negeri Surabaya, Surabaya, Indonesia; Digital Business, Universitas Negeri Surabaya, Surabaya, Indonesia; Digital Business, Universitas Negeri Surabaya, Surabaya, Indonesia; Digital Business, Universitas Negeri Surabaya, Surabaya, Indonesia",2024 9th International Conference on Business and Industrial Research (ICBIR),"17 Feb 2025","2024","","","0494","0498","The development of technology and information has changed consumer behavior. Hence, the marketing strategy challenge lies in how effectively it can increase awareness, conversion, and repurchase behavior as the determinants of e-commerce business sustainability. This study explores the influence of digital marketing, brand awareness, and customer relationship management on repurchase intention, with brand trust mediating variables in the e-commerce marketplace. The research analysis tool is SmartPLS 3.0, which shows an influence between digital marketing, customer relationship marketing, and brand trust on repurchase intention. Hence, digital marketing, customer relationship management, and brand awareness must be considered by digital marketers in the e-commerce marketplace to increase repurchase intention. The research is expected to provide managerial implications in the form of contributions to the e-commerce marketplace regarding how effectively digital marketing can reach consumers and inform them about new products, offers, discounts, or promotions that increase conversion rates in the e-commerce marketplace.","","979-8-3503-8302-7","10.1109/ICBIR61386.2024.10875931","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10875931","digital marketing;customer relationship management;brand awareness;brand trust;repurchase intention","Consumer behavior;Social networking (online);Switches;Market research;Electronic commerce;Sustainable development;Business","","3","","22","IEEE","17 Feb 2025","23-24 May 2024","23-24 May 2024","IEEE","IEEE Conferences"
"Improving Digital Project Management Competencies: Case Study of a Digital Marketing Agency in Lithuania","S. Steponaitis; M. Andrijauskienė","School of Economics and Business, Kaunas University of Technology, Kaunas, Lithuania; School of Economics and Business, Kaunas University of Technology, Kaunas, Lithuania",2023 IEEE European Technology and Engineering Management Summit (E-TEMS),"12 Feb 2024","2023","","","58","63","The Covid-19 pandemic accelerated an expansion of digital technologies, with many organizations redefining the skills of their workforce. This paper analyses the case of a digital marketing agency, operating in Lithuania for more than a decade. As the company’s revenue model is based on the execution of successful projects, constant employee competency development is crucial to be resilient and maintain a competitive market position. Thus, this paper aims to determine the core digital project management competencies and propose a competence development plan. To achieve this aim, a scientific literature review and a semi-structured interview with project managers were carried out. The results revealed that the most important digital project management competencies are contextual knowledge, planning and communication skills and ability to adapt to a fast-changing environment. It was recommended to implement the following solutions: form an environment conducive to learning, organize internal knowledge-sharing sessions, promote mentoring/job shadowing, use external coaching services, and provide opportunities for the employees to attend professional conferences and online project management courses. These solutions ought to narrow the gap between the available and required digital project management competencies and help in coping with the challenges of rapid technological progress.","2836-7588","979-8-3503-1030-6","10.1109/E-TEMS57541.2023.10424612","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10424612","digital project;digital project management;project management competencies;SME;resilience;Covid19","Pandemics;Project management;Organizations;Planning;Risk management;Interviews;Shadow mapping","","1","","24","IEEE","12 Feb 2024","20-22 April 2023","20-22 April 2023","IEEE","IEEE Conferences"
"Utilising the Internet of Things to Enhance Customer Relationship Management in the field of Digital Marketing","M. Usman; S. Gangadharan; M. L B; M. K. Murugesh; I. Gunday; M. Tiwari","Department of Management, College of Economics, Management and Information Systems, University of Nizwa, Sultanate of Oman; Department of Management Studies, St. Joseph's college of Engineering, Chennai; Department of Business Management Studies, School of Commerce, JAIN( Deemed to be University), Bengaluru, Karnataka; Hotel Management, K.L. University, Vijayawada, Andhra Pradesh; Jaipur School of Business, JECRC University, Jaipur; Department of Computer Science and Engineering, Bharati Vidyapeeth’s College of Engineering, Delhi",2024 International Conference on Trends in Quantum Computing and Emerging Business Technologies,"5 Sep 2024","2024","","","1","6","An increasing number of consumers are eager to invest in and benefit from the IoT. Research indicates that by 2020, there will be over 30 billion connected devices, and by 2024, the market for IoT systems is projected to reach $7.6 billion. This paper will focus on the ways in which internet of things (IoT) data could enhance customer relationship management (CRM). An empirical examination was conducted using research methods that utilised qualitative conversations with twelve CRM or innovation marketing experts in 2020 who actually had been engaged with retailer IoT projects. According to the results, companies can anticipate their client's actions and better meet their needs by analysing stored data. Furthermore, due to their lack of knowledge about programming and interaction options, the majority of organisations simply require the establishment of a conventional CRM system. This allows for the integration of data collected from particular IoT devices with data collected from other sources as well. When all of these moving parts are in sync, it's much easier to understand what the client preferences, requirements, and the products or services they're planning to buy.","","979-8-3503-8427-7","10.1109/TQCEBT59414.2024.10545230","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10545230","IoT;connected devices;Market projection;IoT systems;CRM;Empirical examination;Qualitative conversations;Innovation marketing experts;Retailer IoT projects;Data analysis;anticipating client actions;Analysing stored data;Conventional CRM system;Data integration;Client preferences;Client requirements;Product or service preferences","Technological innovation;Quantum computing;Reviews;Customer relationship management;Psychology;Programming;Internet of Things","","2","","17","IEEE","5 Sep 2024","22-23 March 2024","22-23 March 2024","IEEE","IEEE Conferences"
"Predictive Decision Models for Multi-Channel Digital Marketing and Their Impact on Customer Relationship Management","B. T. Al-Qotaje; S. A. Awni; A. A. Hammadi; A. K. Muttar; M. J. Mahmmed","College of Administration and Economics, University of Mosul, Iraq; Middle Technical, Technical Institute of Management, Iraq; College of administration and economics, University of Fallujah, iraq; College of Administration and Economics, University of Anbar, Iraq; Department of Accounting, College of Administration and Economics, Al-Esraa University, Baghdad, Iraq",2026 ASU International Conference in Emerging Technologies for Sustainability and Intelligent Systems (ICETSIS),"12 Jun 2026","2026","","","555","560","This study aims to analyze the dimensions of digital marketing through multi-channel strategies and their role in strengthening customer relationships with the organization. This study derives its theoretical importance from the field of business administration, specifically marketing management using digital marketing, and the extent of the importance of multiple digital marketing channels in strengthening customer relationships with the institution. On a practical level, this study derives its importance from understanding the contribution of multiple digital marketing channels to strengthening customer relationships with Dubai NXN Post.","","979-8-3315-7229-7","10.1109/ICETSIS68266.2026.11549355","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11549355","decision models;digital marketing;customer relations","Tools;Social networking (online);Printing;Search engines;Optimization;Technology;Electronic mail;Internet;Organizations;Ranking (statistics)","","","","18","IEEE","12 Jun 2026","6-7 May 2026","6-7 May 2026","IEEE","IEEE Conferences"
"The Effect of Digital Marketing on Customer Relationship Management: An Exploratory Study at Asiacell Telecommunication Company in Iraq","E. A. Mohsen; A. M. Said; A. Chetatha","Technical College of Management, Middle Technical University, Baghdad, Iraq; Technical College of Management, Middle Technical University, Baghdad, Iraq; Faculty of Economic, Business and Management Sciences University of Laghouat, Laghouat, Algeria",2025 3rd International Conference on Business Analytics for Technology and Security (ICBATS),"3 Dec 2025","2025","","","1","6","This paper aims to test the effect of digital marketing on customer relationship management in Asiacell Telecommunication Company. The Exploratory approach was used, and the questionnaire was adapted to collect data from the research sample that included (250) employees. The obtained data were analyzed by using (mean, standard deviation, relative importance, correlation coefficient, and simple linear regression) by relying on the statistical analysis program SPSS V er. 24. The mean result that the paper reached is that there is an effect from digital marketing on customer relationship management, and that means if there is any improvement in using digital marketing, that is enhance the level of customer relationship management in the researched company.","","979-8-3315-3827-9","10.1109/ICBATS66542.2025.11258482","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11258482","Digital Marketing;Customer Relationship Management;Exploratory Study","Correlation coefficient;Statistical analysis;Linear regression;Customer satisfaction;Customer relationship management;Companies;Search engines;Communications technology;Security;Standards","","","","27","IEEE","3 Dec 2025","1-2 May 2025","1-2 May 2025","IEEE","IEEE Conferences"
"Adoption of Artificial Intelligence in Customer Relationship Management: Insights from Bangladesh's Digital Marketing Sector","M. M. H. Emon; M. A. Rahman; S. Jahan; S. M. S. Noman; Z. Tasnim; J. Mahmud","Department of Management Information Systems, American International University, Bangladesh; Department of Business Administration, Uttara University; Department of Business Administration, Daffodil International University; Department of Business Administration, Uttara University; Department of Management, School of Business and Economics, North South University; Department of Business Administration, Uttara University","2026 IEEE 2nd International Conference on Quantum Photonics, Artificial Intelligence & Networking (QPAIN)","11 Jun 2026","2026","","","1","6","The main objective of the study is to examine the effect of technological, organizational, and environmental factors, namely, PU of AI, OR, TC, and CP, and their interplay with each other on the adoption of AI-powered CRM in the context of digital marketing in Bangladesh. The quantitative research design was used with primary data being collected by using a structured questionnaire with a 5-point Likert scale. The marketing managers, digital marketing professionals, and CRM specialists were the targeted group and the analysis of 149 valid responses was conducted with the help of Smart PLS 4 and PLSSEM to assess the hypothesis about the existing relationships. The results indicate that all the four determinants have a positive and significant impact on AICRM adoption, with CP having the strongest impact, and then OR, TC, and PU. The findings underscore the interactive effects between technology, organizational and environmental variables in determining the behavior to adopt AI, which justifies the relevance of the TOE framework in a developing country setting. In practice, the study is actionable in helping managers to improve AI adoption through investing in organizational preparation, harmonizing technology systems, and tracking competitor forces. The study highlights socially the prospects of AI adoption to enhance customer experiences and advance more effective digital marketing practices. It is innovative in that it incorporated several determinants in the framework of TOE in the specific case of AI-powered CRM adoption in Bangladesh. The constraints are the convenience sampling and cross-sectional data, which indicates that longitudinal studies should be used in further research.","","979-8-3315-4990-9","10.1109/QPAIN69676.2026.11546086","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11546086","AI-powered CRM;digital marketing;AI adoption;TOE framework;organizational readiness;competitive pressure","Artificial intelligence;Modeling;Printing;Technology;Organizations;Companies;Business;Context;Current;Force","","","","26","IEEE","11 Jun 2026","16-18 April 2026","16-18 April 2026","IEEE","IEEE Conferences"
"Implementation of a customized content management system for digital marketing based on LG webOS Signage and beacons usage","A. Andrade; H. Bullon; A. Barrientos; M. Cuadros","Escuela de Ingenier&#x00ED;a de Sistemas y Computati&#x00F3;n Universidad Peruana de Ciencias Aplicadas, Lima, Per&#x00FA;; Escuela de Ingenier&#x00ED;a de Sistemas y Computati&#x00F3;n Universidad Peruana de Ciencias Aplicadas, Lima, Per&#x00FA;; Escuela de Ingenier&#x00ED;a de Sistemas y Computati&#x00F3;n Universidad Peruana de Ciencias Aplicadas, Lima, Per&#x00FA;; Escuela de Ingenier&#x00ED;a de Sistemas y Computati&#x00F3;n Universidad Peruana de Ciencias Aplicadas, Lima, Per&#x00FA;",2021 IEEE Sciences and Humanities International Research Conference (SHIRCON),"29 Dec 2021","2021","","","1","4","Due to the way marketing has evolved over time, creating innovative and powerful messages is insufficient. Today, the companies focus on the communication with each customer in a unique way considering its specific preferences, interests, and individual needs. In this context, a variety of digital signage devices is appearing in the market. This type of product has technologies that are not always fully exploited by their manufacturers and end users. This is the case of the LG Digital Signage devices, which are integrated with a beacon (Bluetooth Low Energy technology-BLE) that is not harnessed by the different content management systems available on the market. On this basis, the research team proposes a content management system which can control the information shown in various LG Digital Signage devices. In addition, to customize the experience, the available beacon in the devices was used to create an interaction between the smartphones of the users and the LG Digital Signage monitor, avoiding direct contact with objects that could be manipulated by others. Consuming the information of an external recommendation engine the necessary information can be obtained. In the experiment, many users were asked to try the system to watch general content as well as the customized one in the available monitors. The effectiveness of the system was also evaluated.","","978-1-6654-2914-6","10.1109/SHIRCON53068.2021.9652218","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9652218","CMS;beacon;digital signage;digital marketing;technology;society;customer satisfaction;customized information","Ethics;Content management;Companies;User experience;Libraries;Mobile applications;Standards","","1","","10","IEEE","29 Dec 2021","17-19 Nov. 2021","17-19 Nov. 2021","IEEE","IEEE Conferences"
"Revolutionizing In-House Digital Marketing with End-to-End Marketing Automation Powered by AI and SaaS","P. Gujar; G. Paliwal; S. Panyam","Enterprise Data Product in Digital Advertising, Saratoga, California, USA; Product Marketing and Development, Advertising Technology, Seattle, WA, USA; Cloud Engineering and SaaS Platforms, Sunnyvale, CA, USA",2024 IEEE Colombian Conference on Communications and Computing (COLCOM),"23 Oct 2024","2024","","","1","7","The integration of end-to-end marketing automation powered by AI and SaaS has the potential to revolutionize in-house digital marketing. This article explores how these technologies enhance operational efficiency, targeting, and data-driven decision-making. AI and SaaS enable streamlined workflows, personalized customer interactions, and optimized marketing strategies, significantly improving ROI. The article outlines the key components of marketing automation, the transformative role of AI, and the advantages of SaaS, providing a comprehensive guide for businesses to leverage these technologies. As the digital marketing landscape evolves, adopting AI and SaaS-driven automation is essential for maintaining a competitive edge and achieving long-term success.","2771-568X","979-8-3315-0472-4","10.1109/COLCOM62950.2024.10720305","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10720305","E2E Marketing Automation;In-House Marketing;AI;SaaS;Predictive Analytics;Campaign Management;AdTech;Digital Marketing;Cloud Computing","Automation;Decision making;Ecosystems;Market research;Complexity theory;Artificial intelligence;Business","","3","","32","IEEE","23 Oct 2024","21-23 Aug. 2024","21-23 Aug. 2024","IEEE","IEEE Conferences"
"DIGI-AI: an AI-Powered Web Platform for Intelligent Digital Marketing Automation","M. Younas; S. Siddique; S. Bibi; S. Kanwal; C. Irawan","Department of Computer Science, International Islamic University, Islamabad, Pakistan; Department of Computer Science, International Islamic University, Islamabad, Pakistan; Department of Computer Science, International Islamic University, Islamabad, Pakistan; School of Computer Science, International Islamic University, Islamabad, Pakistan; Informatics Department, Nusa Putra University, Sukabumi, Indonesia","2025 15th International Conference on Mathematics, Actuarial Science, Computer Science and Statistics (MACS)","31 Mar 2026","2025","","","1","11","Digi AI is a new web-based digital marketing system that is aimed at changing the traditional marketing into an intelligent, automated and learn-based ecosystem. It incorporates the innovative Artificial Intelligence (AI) to automatize the creation of campaigns, conduct real-time analysis of trends and create customized content that meets business objectives. Digi AI, created with the help of MERN stack (MongoDB, express.js, react.js, and node.js) and Gemini API, firebase, and chart.js, provides marketers and administrators with a scaled and easy to use environment. The platform has the ability to use AI to make recommendations, predictive analytics, sentiment analysis, budget optimization, email marketing automation, and chatbot integration to simplify operations, increase Return on Investment (ROI). Digi AI can provide information on the behavior of users, the dynamics of the market, and the effectiveness of campaigns and help make decisions regarding marketing activities in diverse sectors based on the analyzed information. Its interactive dashboards, feedback-secure system of authentication and adaptive learning models guarantee flawless functionality and ongoing enhancement. The system has proven to be reliable, scalable and usable by thoroughly testing and validating it, thus, it is a complete system that can be used by businesses that want to be smarter in their digital interactions. Finally, Digi AI will give organizations the strength to implement customized, real-time marketing solutions and stimulate innovation and quantifiable development in the current competitive digital environment.","","979-8-3315-8922-6","10.1109/MACS68476.2025.11453341","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11453341","Artificial Intelligence;Digital Marketing;Campaign Automation;Predictive Analytics;Personalization;Web Application","Technological innovation;Sentiment analysis;Automation;Organizations;Real-time systems;Reliability;Artificial intelligence;Predictive analytics;Optimization;Testing","","","","17","IEEE","31 Mar 2026","20-21 Dec. 2025","20-21 Dec. 2025","IEEE","IEEE Conferences"
"UX Design of Digital Marketing Management System for Micro, Small, and Medium Enterprises to Increase Culinary Potential of Malang City","W. N. Hidayat; R. R. Mariana; Y. A. L. Hermanto; M. Yusuf","Department of Electrical Engineering and Informatics, Universitas Negeri Malang, Malang, Indonesia; Department of Cullinary Education, Universitas Negeri Malang, Malang, Indonesia; Department of Visual Communication Design, Universitas Negeri Malang, Malang, Indonesia; Department of Electrical Engineering and Informatics, Universitas Negeri Malang, Malang, Indonesia","2023 8th International Conference on Electrical, Electronics and Information Engineering (ICEEIE)","6 Dec 2023","2023","","","1","6","The development of digital technology has changed the paradigm of life and fostering new ways of working in the community. Economic activities have shifted to digital form with the presence of social media and marketplaces. Based on data quoted from We are Social, it is known that as many as 170 million people (61.8% of the total population in Indonesia) are active social media users in Indonesia. Thus, the use of social media as a digital branding platform is very attractive and promising. In addition, the era of digital technology disruption makes digital branding and marketing skills very important for digital business people. Thus, digital branding learning needs to be encouraged to increase the competitiveness of the digital era. However, the absence of a platform that has special features for learning digital branding management is a problem. Therefore, as an effort to create a virtual branding application, UI/UX design efforts are needed using a design thinking approach.","","979-8-3503-4050-1","10.1109/ICEEIE59078.2023.10334829","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10334829","Digital branding;Social media;Market place;Design thinking","System testing;Social networking (online);Brand management;Urban areas;Sociology;User experience;Usability","","1","","23","IEEE","6 Dec 2023","28-29 Sept. 2023","28-29 Sept. 2023","IEEE","IEEE Conferences"
